Position,Driver,Total Points (top 7),Avg Points (top 7),Total Points,Avg Points,Events
1,Ryan Cowley,692.1540731331896,98.87915330474138,882.9119550007753,98.10132833341947,9
2,Stephen Curtis,691.0772518072157,98.7253216867451,1269.6112784053837,97.66240603118337,13
3,Jake Jackson,682.0660883565602,97.43801262236573,969.8841682882721,96.98841682882721,10
4,DYLAN KNUTSON,681.2878133732955,97.32683048189936,765.9266501462787,95.74083126828484,8
5,Eric McAfee,678.3109472957664,96.9015638993952,940.0810477876572,94.00810477876573,10
6,George Curtis,677.1984685285515,96.74263836122165,861.4647877212083,95.71830974680091,9
7,Jade Barlow,675.5580846651018,96.50829780930026,1048.822550128863,95.34750455716936,11
8,Mycole Thon,673.5888345773218,96.22697636818883,937.5504076261647,93.75504076261646,10
9,Cameron DeGroff,672.2842151861678,96.04060216945254,753.355527063312,94.169440882914,8
10,Danial Ebling,672.269973437714,96.03856763395915,844.1011072733883,93.78901191926536,9
11,Tracy Pitkin,671.6275145693963,95.94678779562805,671.6275145693963,95.94678779562805,7
12,Jake Crookston,668.2094592442196,95.45849417774566,1028.3695192823004,93.48813811657277,11
13,Dustin Sowerby,663.7335214226129,94.8190744889447,752.4338627870812,94.05423284838515,8
14,Douglas Brown,661.7190898320321,94.53129854743315,832.6823281078612,92.52025867865125,9
15,Koda Atwood,661.0562002162558,94.43660003089369,836.3163139701625,92.9240348855736,9
16,Michael Terry,659.5096073245545,94.21565818922207,743.1269378214267,92.89086722767834,8
17,Josh Hansen,658.7392008427665,94.10560012039522,1202.3546177437345,92.48881674951804,13
18,Rod Derrick,658.4140315138436,94.05914735912052,917.3305365958489,91.7330536595849,10
19,Paul Thon,658.0638099601831,94.00911570859759,1013.5470917916742,92.14064470833402,11
20,Dana Barlow,654.2985996038343,93.47122851483347,1014.0696708816597,92.1881518983327,11
21,Meredith Bunsawat,652.6947277999974,93.2421039714282,737.29208113603,92.16151014200375,8
22,Cristy Crookston,648.9593003322183,92.70847147603118,996.4174813488065,90.58340739534604,11
23,Justin Dowey,647.954919380875,92.56498848298214,647.954919380875,92.56498848298214,7
24,Kyle Hanson,647.5108189886745,92.50154556981065,820.8591553605036,91.20657281783373,9
25,Adam Anderson,647.0274143604092,92.43248776577275,994.1259072187477,90.37508247443161,11
26,Kyle Ehrig,644.7230433153039,92.10329190218627,644.7230433153039,92.10329190218627,7
27,Keith Pion,640.1315251243906,91.4473607320558,1054.6393827685022,87.88661523070851,12
28,Joshua Shoemaker,638.3647528446022,91.19496469208603,799.9615568978537,88.88461743309486,9
29,Dave Tille,631.2893473149966,90.18419247357095,806.4921405469183,89.61023783854648,9
30,Seth Evanhoe,627.2307829553182,89.60439756504546,875.9351254606055,87.59351254606055,10
31,Gabriel Cerritos,611.7347897227869,87.39068424611241,778.5924939429636,86.51027710477373,9
32,Madison Caldron,608.1385255553234,86.87693222218907,845.1460437329118,84.51460437329118,10
33,Reed Robinson,599.9425936031964,85.70608480045664,599.9425936031964,85.70608480045664,7
34,Brian Gould,595.7848010886875,85.11211444124106,676.7873865526346,84.59842331907933,8
35,Martin Day,586.6750527248632,83.8107218178376,746.5103794511392,82.94559771679324,9
36,Brittney Hanson,584.6246999102924,83.51781427289892,661.429234982804,82.6786543728505,8
37,Alexander Lopez,581.9088404981924,83.12983435688463,581.9088404981924,83.12983435688463,7
38,Mark Cornelius,581.0861821876741,96.84769703127903,581.0861821876741,96.84769703127903,6
39,Evan Markewycz,578.6332168640664,96.4388694773444,578.6332168640664,96.4388694773444,6
40,Brandon Hurst,576.1026056346028,96.01710093910047,576.1026056346028,96.01710093910047,6
41,Chase Pinkney,562.6175591278145,80.37393701825921,636.9601799375664,79.6200224921958,8
42,Benjamin Kittrell,559.8322561388752,93.30537602314587,559.8322561388752,93.30537602314587,6
43,Ralph Pensel,559.5694319088161,93.26157198480269,559.5694319088161,93.26157198480269,6
44,Vernon Jolley,556.1400900156385,92.69001500260642,556.1400900156385,92.69001500260642,6
45,Chad Anderson,555.328470796754,79.33263868525057,845.5902444668204,76.87184040607458,11
46,Janiel Gould,553.0341060014366,79.00487228591952,627.4964715928345,78.43705894910431,8
47,Andrew Davis,552.7285206142982,78.96121723061403,552.7285206142982,78.96121723061403,7
48,Nathan Putnam,547.9143125495065,91.31905209158441,547.9143125495065,91.31905209158441,6
49,Justin Scott,546.9263023543791,91.15438372572986,546.9263023543791,91.15438372572986,6
50,Christopher Pion,545.8136410996539,90.96894018327565,545.8136410996539,90.96894018327565,6
51,Branden Robertson,545.6118747396213,90.93531245660354,545.6118747396213,90.93531245660354,6
52,Brett Walton,542.5376935130325,90.42294891883876,542.5376935130325,90.42294891883876,6
53,Sheldon Scott,539.2133306240892,89.86888843734819,539.2133306240892,89.86888843734819,6
54,Adam Armstrong,520.5677244745126,86.76128741241877,520.5677244745126,86.76128741241877,6
55,Jose Meza,517.2342005384916,86.20570008974859,517.2342005384916,86.20570008974859,6
56,Richie Andrade,515.7997559897437,85.96662599829062,515.7997559897437,85.96662599829062,6
57,Christian Mariano,487.15459733205523,97.43091946641104,487.15459733205523,97.43091946641104,5
58,David Lakey,486.8967101623441,81.14945169372402,486.8967101623441,81.14945169372402,6
59,Dale Pitkin,479.1140731141835,95.8228146228367,479.1140731141835,95.8228146228367,5
60,Tyler Oborn,478.5282377463159,95.70564754926318,478.5282377463159,95.70564754926318,5
61,Christopher Cook,470.42742960900165,94.08548592180033,470.42742960900165,94.08548592180033,5
62,Michael Thuet,468.8827034402213,93.77654068804426,468.8827034402213,93.77654068804426,5
63,Brian Maucotel,464.9392716048253,92.98785432096506,464.9392716048253,92.98785432096506,5
64,Skyler Sisson,463.9953056754141,92.79906113508282,463.9953056754141,92.79906113508282,5
65,J.D. Perham,463.4792467836213,92.69584935672427,463.4792467836213,92.69584935672427,5
66,Anthony Farrington,460.2980023445112,92.05960046890223,460.2980023445112,92.05960046890223,5
67,Chauncey Evans,457.90625688566047,91.58125137713209,457.90625688566047,91.58125137713209,5
68,Lane Farka,454.57696472526135,90.91539294505228,454.57696472526135,90.91539294505228,5
69,Kevin Schultz,451.34888544470596,90.2697770889412,451.34888544470596,90.2697770889412,5
70,Zachary Stafford,437.7314633754594,87.54629267509188,437.7314633754594,87.54629267509188,5
71,Rusty Horlacher,437.2413699824153,87.44827399648305,437.2413699824153,87.44827399648305,5
72,Rachel McLaughlin,425.2938165399159,70.88230275665265,425.2938165399159,70.88230275665265,6
73,Chris Pion,424.4806105244665,84.8961221048933,424.4806105244665,84.8961221048933,5
74,Katherine Clarke,424.1484735963886,84.82969471927773,424.1484735963886,84.82969471927773,5
75,Kadin Flinn,423.0777627619464,84.61555255238929,423.0777627619464,84.61555255238929,5
76,Cj O'Neil,422.3793869350665,84.4758773870133,422.3793869350665,84.4758773870133,5
77,Gary Peterson,398.9895007168436,79.79790014336872,398.9895007168436,79.79790014336872,5
78,Skye Jarvis,379.740239187253,94.93505979681325,379.740239187253,94.93505979681325,4
79,Casey Tucker,369.73574903327227,92.43393725831807,369.73574903327227,92.43393725831807,4
80,Anthony Mariano,369.1431859730741,92.28579649326852,369.1431859730741,92.28579649326852,4
81,Matt Picard,362.81579752534685,90.70394938133671,362.81579752534685,90.70394938133671,4
82,Jared Carter,362.66071639406823,90.66517909851706,362.66071639406823,90.66517909851706,4
83,Breanna Campbell,355.4728347288447,88.86820868221118,355.4728347288447,88.86820868221118,4
84,Aaron Borgerding,353.93561809240197,88.48390452310049,353.93561809240197,88.48390452310049,4
85,Brad Larson,352.68878832110585,88.17219708027646,352.68878832110585,88.17219708027646,4
86,Ed Denton,347.33578368159783,86.83394592039946,347.33578368159783,86.83394592039946,4
87,Ruben Jimenez,346.2916302441211,86.57290756103028,346.2916302441211,86.57290756103028,4
88,Jayce Walker,341.7595361261201,85.43988403153003,341.7595361261201,85.43988403153003,4
89,Ryan Green,333.6682803100727,83.41707007751818,333.6682803100727,83.41707007751818,4
90,Kyle Cole,326.57291653277605,81.64322913319401,326.57291653277605,81.64322913319401,4
91,Katie Hokanson,299.5297388572494,74.88243471431235,299.5297388572494,74.88243471431235,4
92,Gerardo Monroy,295.5352557082623,73.88381392706557,295.5352557082623,73.88381392706557,4
93,Jordan Priestley,294.62773544665424,98.20924514888475,294.62773544665424,98.20924514888475,3
94,Chris Andreasen,290.39550526676226,96.79850175558742,290.39550526676226,96.79850175558742,3
95,Trevor Smith,282.3211206530001,94.1070402176667,282.3211206530001,94.1070402176667,3
96,Michael Beck,278.2072125492181,92.73573751640605,278.2072125492181,92.73573751640605,3
97,Austin Dowda,276.47979560430474,92.15993186810158,276.47979560430474,92.15993186810158,3
98,Mark Brown,275.41133724518687,91.80377908172896,275.41133724518687,91.80377908172896,3
99,Brayden Bacigalupo,272.58248977653705,90.86082992551235,272.58248977653705,90.86082992551235,3
100,Robert Rebmann,270.48557061361464,90.16185687120488,270.48557061361464,90.16185687120488,3
101,David Coombs,269.4011916763201,89.80039722544002,269.4011916763201,89.80039722544002,3
102,Justin Allen,269.20521272780763,89.73507090926921,269.20521272780763,89.73507090926921,3
103,Hayden Lee,268.49347911220667,89.49782637073555,268.49347911220667,89.49782637073555,3
104,Ken West,267.5513030159766,89.1837676719922,267.5513030159766,89.1837676719922,3
105,Jim Hughes,266.04407978153347,88.68135992717782,266.04407978153347,88.68135992717782,3
106,Jesse Wiseman,265.30731995652127,88.43577331884042,265.30731995652127,88.43577331884042,3
107,Matthew Thon,263.15779644241564,87.71926548080522,263.15779644241564,87.71926548080522,3
108,Jeff Welch,262.46172469525436,87.48724156508479,262.46172469525436,87.48724156508479,3
109,Nathan Dialogue,261.25055547136685,87.08351849045562,261.25055547136685,87.08351849045562,3
110,Heather Cornelius,260.5074308833827,86.8358102944609,260.5074308833827,86.8358102944609,3
111,Natalie Davis,260.0246700916145,65.00616752290362,260.0246700916145,65.00616752290362,4
112,Chris Stepp,258.60694999975516,86.20231666658505,258.60694999975516,86.20231666658505,3
113,Jon Wayment,254.8210864230722,84.94036214102407,254.8210864230722,84.94036214102407,3
