Position,Driver,Total Points (top 7),Avg Points (top 7),Total Points,Avg Points,Events
1,Michael Carpenter,100.0,100.0,100.0,100.0,1
2,Bruce Hanson,199.09601900677984,99.54800950338992,199.09601900677984,99.54800950338992,2
3,Ryan Cowley,692.1540731331896,98.87915330474138,882.9119550007753,98.10132833341947,9
4,Stephen Curtis,691.0772518072157,98.7253216867451,1269.6112784053837,97.66240603118337,13
5,Chase Cochrun,197.3287466347592,98.6643733173796,197.3287466347592,98.6643733173796,2
6,David Benson,196.93151011410015,98.46575505705007,196.93151011410015,98.46575505705007,2
7,Jordan Priestley,294.62773544665424,98.20924514888475,294.62773544665424,98.20924514888475,3
8,Ryan Johnson,195.1001600202669,97.55008001013346,195.1001600202669,97.55008001013346,2
9,Tony Medina,97.52773104451224,97.52773104451224,97.52773104451224,97.52773104451224,1
10,Jake Jackson,682.0660883565602,97.43801262236573,969.8841682882721,96.98841682882721,10
11,Christian Mariano,487.15459733205523,97.43091946641104,487.15459733205523,97.43091946641104,5
12,DYLAN KNUTSON,681.2878133732955,97.32683048189936,765.9266501462787,95.74083126828484,8
13,Eric McAfee,678.3109472957664,96.9015638993952,940.0810477876572,94.00810477876573,10
14,Mark Cornelius,581.0861821876741,96.84769703127903,581.0861821876741,96.84769703127903,6
15,Chris Andreasen,290.39550526676226,96.79850175558742,290.39550526676226,96.79850175558742,3
16,George Curtis,677.1984685285515,96.74263836122165,861.4647877212083,95.71830974680091,9
17,Paul Hamilton,96.56539612269222,96.56539612269222,96.56539612269222,96.56539612269222,1
18,Jade Barlow,675.5580846651018,96.50829780930026,1048.822550128863,95.34750455716936,11
19,Evan Markewycz,578.6332168640664,96.4388694773444,578.6332168640664,96.4388694773444,6
20,Jacob Pitkin,96.36828022378982,96.36828022378982,96.36828022378982,96.36828022378982,1
21,Kenneth Hansen,96.32466837524996,96.32466837524996,96.32466837524996,96.32466837524996,1
22,Mycole Thon,673.5888345773218,96.22697636818883,937.5504076261647,93.75504076261646,10
23,Cameron DeGroff,672.2842151861678,96.04060216945254,753.355527063312,94.169440882914,8
24,Danial Ebling,672.269973437714,96.03856763395915,844.1011072733883,93.78901191926536,9
25,Brandon Hurst,576.1026056346028,96.01710093910047,576.1026056346028,96.01710093910047,6
26,Tracy Pitkin,671.6275145693963,95.94678779562805,671.6275145693963,95.94678779562805,7
27,Dale Pitkin,479.1140731141835,95.8228146228367,479.1140731141835,95.8228146228367,5
28,Tyler Oborn,478.5282377463159,95.70564754926318,478.5282377463159,95.70564754926318,5
29,Jake Crookston,668.2094592442196,95.45849417774566,1028.3695192823004,93.48813811657277,11
30,Cristopher Pion,95.26223435367518,95.26223435367518,95.26223435367518,95.26223435367518,1
31,Tyler Olsen,95.12477899191329,95.12477899191329,95.12477899191329,95.12477899191329,1
32,Alexander Mortensen,95.12181555234174,95.12181555234174,95.12181555234174,95.12181555234174,1
33,Skye Jarvis,379.740239187253,94.93505979681325,379.740239187253,94.93505979681325,4
34,Andrew Maffessanti,94.9266768865878,94.9266768865878,94.9266768865878,94.9266768865878,1
35,Bryan Reilly,94.8523954318002,94.8523954318002,94.8523954318002,94.8523954318002,1
36,Dustin Sowerby,663.7335214226129,94.8190744889447,752.4338627870812,94.05423284838515,8
37,Parker Singleton,189.5251089199446,94.7625544599723,189.5251089199446,94.7625544599723,2
38,Cara Benson,189.52336324927109,94.76168162463554,189.52336324927109,94.76168162463554,2
39,Douglas Brown,661.7190898320321,94.53129854743315,832.6823281078612,92.52025867865125,9
40,Christopher Burton,94.51297177716698,94.51297177716698,94.51297177716698,94.51297177716698,1
41,Koda Atwood,661.0562002162558,94.43660003089369,836.3163139701625,92.9240348855736,9
42,Chase Sullivan,188.7373487216124,94.3686743608062,188.7373487216124,94.3686743608062,2
43,Michael Terry,659.5096073245545,94.21565818922207,743.1269378214267,92.89086722767834,8
44,Trevor Smith,282.3211206530001,94.1070402176667,282.3211206530001,94.1070402176667,3
45,Josh Hansen,658.7392008427665,94.10560012039522,1202.3546177437345,92.48881674951804,13
46,Christopher Cook,470.42742960900165,94.08548592180033,470.42742960900165,94.08548592180033,5
47,Rod Derrick,658.4140315138436,94.05914735912052,917.3305365958489,91.7330536595849,10
48,Charlie Swindells,188.06692825679784,94.03346412839892,188.06692825679784,94.03346412839892,2
49,Paul Thon,658.0638099601831,94.00911570859759,1013.5470917916742,92.14064470833402,11
50,Michael Thuet,468.8827034402213,93.77654068804426,468.8827034402213,93.77654068804426,5
51,trevor smith,93.67774086378738,93.67774086378738,93.67774086378738,93.67774086378738,1
